postal_code,city,lat,long
81016,Albi,43.9298,2.148
81017,Albi,43.9298,2.148
81004,Albi,43.9298,2.148
81011,Albi,43.9298,2.148
81007,Albi,43.9298,2.148
81003,Albi,43.9298,2.148
81006,Albi,43.9298,2.148
81001,Albi,43.9298,2.148
31460,Albiac,43.5524,1.7805
46500,Albiac,44.766,1.8109
82350,Albias,44.0898,1.449
11330,Albières,42.9469,2.4779
09310,Albiès,42.7756,1.703
73300,Albiez-le-Jeune,45.2448,6.3521
73300,Albiez-Montrond,45.2167,6.35
73530,Albiez-Montrond,45.2167,6.35
19190,Albignac,45.1391,1.6779
69250,Albigny-sur-Saône,45.8667,4.8333
81240,Albine,43.4595,2.5395
20166,Albitreccia,41.863,8.9426
20128,Albitreccia,41.863,8.9426
26140,Albon,45.2461,4.8493
07190,Albon-d'Ardèche,44.8213,4.4279
07440,Alboussière,44.9441,4.7288
19380,Albussac,45.1382,1.8357
74540,Alby-sur-Chéran,45.8167,6.0167
64470,Alçay,43.0951,-0.9096
64430,Aldudes,43.0961,-1.4259
62850,Alembon,50.7847,1.8887
61023,Alençon,48.4348,0.0931
61004,Alençon,48.4348,0.0931
61041,Alençon,48.4348,0.0931
61022,Alençon,48.4348,0.0931
61042,Alençon,48.4348,0.0931
61051,Alençon,48.4348,0.0931
61024,Alençon,48.4348,0.0931
61021,Alençon,48.4348,0.0931
61019,Alençon,48.4348,0.0931
61003,Alençon,48.4348,0.0931
61005,Alençon,48.4348,0.0931
61006,Alençon,48.4348,0.0931
61002,Alençon,48.4348,0.0931
61007,Alençon,48.4348,0.0931
61008,Alençon,48.4348,0.0931
61009,Alençon,48.4348,0.0931
61000,Alençon,48.4348,0.0931
61011,Alençon,48.4348,0.0931
61001,Alençon,48.4348,0.0931
61014,Alençon,48.4348,0.0931
61015,Alençon,48.4348,0.0931
61016,Alençon,48.4348,0.0931
61017,Alençon,48.4348,0.0931
61018,Alençon,48.4348,0.0931
61012,Alençon,48.4348,0.0931
61013,Alençon,48.4348,0.0931
66200,Alénya,42.6398,2.9813
20270,Aléria,42.1043,9.5126
30319,Alès,44.1249,4.0808
30318,Alès,44.1249,4.0808
30105,Alès,44.1249,4.0808
30115,Alès,44.1249,4.0808
30112,Alès,44.1249,4.0808
30100,Alès,44.1249,4.0808
30109,Alès,44.1249,4.0808
